Team No,Year,Segmented Text
1,2022,The data will be compromised  by depending on the lack of proper authentication as the user/pass will be standard one which will be easily detected.
1,2022,"This will be compromised by using the APIs which are useful tool for hacking the Robotics operating systems which will be the Parameter API and Slave API. The API of the ROS of the robot is considered one of the most vulnerable components since the getters for debugging and troubleshooting deliver rich information about the system, and the shutdown signal has an obvious use if it is not restricted to the master, and no other node."
1,2022,"I believe this can be decreased by securing the APIs through Integrity, authenticity, authorization, access control."
1,2022,The main motivation to do this is the human-machine interaction as this will make the robot has valuable effect in the business the robot is included in.
1,2022,"Network Hacking: Networks hacking is a very crucial topic to gain control over the Wi-Fi and ROS nodes controlling the robot, and more generally it is crucial to control all the devices connected to the network."
1,2022,"It is known that the Linux operating is the best when it comes to dealing with networks due to its security,  flexibility, stability, and reliability."
1,2022,"The used attacks are mainly divided into three parts:  Pre-Connection Attacks, Gaining Access, and Post-Connection Attacks. Pre-Connection attacks are all the attacks that are used before hacking the Wi-Fi without connecting to the network like packets sniffing & deauthentication  attack, while the Gaining Access are the attacks that will be  used to hack into the Wi-Fi and actually connect to the network, and the Post-connection attacks involve all the attacks that can be done once we are connected to the network like ssh connection, and Man in The Middle attack."
1,2022,"In order to do these attacks, a  wireless adapter that supports monitor mode and packet injection will be used  along with some of kali linux tools like Airodump-NG and Airgeddon. Pre-connection attacks: Packet sniffing using Airodump-NG: Airodump is a packet sniffer program that is part  of aircrack-ng suit. It is basically a program designed to sniff the data and capture all the packets that are in our wifi card range. It can be  also used to just scan all wifi networks around us and gather info about them such as the MAC address, the channel, type of encryption, and the clients connected to this network."
1,2022,Specific Target Packet Sniffing Using Airodump-NG: This is a specific and more advanced attack of the packet sniffing that is used on specific target. This attack runs also through Airodump-NG tool and it has a feature that save and write files contain all the type of data that is send to and from the target network at the time the sniffing was running.
1,2022,"This data includes URLs, chat messages, usernames, passwords , etc."
1,2022,"Deauthentication Attack Using Airplay-NG: This attack is used to disconnect any device from any network within our range even if the network is protected with a key. This is done by sending deauthentication packets to the router pretending to be the target machine (by spoofing its MAC address). At the same time, the hacker sends packets to the target machine (pretending to be the router) telling it that it needs to re-authenticate itself."
1,2022,"Using airplay-ng, the attack doesnÕt have to take place manually."
1,2022,"Gaining access: WEP/WPA/WPA2 WPS or Bruteforce Cracking: Each network has a type of Encryption from WEP/WPA/WPA2. So, the main idea of cracking these types of network is about decrypting the data."
1,2022,This is doable in the WEP decryption by sniffing a lot of packets from this network (using Airodump-ng) and decrypt this packets to get they key of the network (using Aircrack-ng). It is easy to decrypt the WEP because it uses RC4 algorithm in its encryption which encrypt the data using a unique key stream that is generated using random initialization vector(IV).
1,2022,This IV consists of only 24 bits and this is the main.
1,2022,"For the WPA/WPA2 cracking instead of using a similar method to WEP, it much easier to try to exploit the WPS feature. The WPS feature works by WPS pin which is always consists of 8-digit number. The WPS pin can be exploited by Airgeddon tool. If the WPS feature is closed we can use Bruteforce method with the same tool using captured handshakes."
1,2022,Post-connection attacks: SSH Breakthrough: Secure Shell (SSH) protocol allows for remote access and execution of terminal commands in a remote computer.
1,2022,"Getting an SSH connection to the robot is equivalent to getting access to the terminal of the robot were you can run commands, edit ros connections and have full control over the files on the robot. However, getting an SSH connection to the robot isnÕt that straightforward, the IP address of the robot is needed first which can be done easily, and the SSH password is needed for authentication which is challenging to break."
1,2022,"The most straightforward attack is a bruteforce attack, however, this might take too long, and  SSH is very secure, so itÕs difficult to do any better than a bruteforce."
1,2022,"Robot Operating System: Robot Operating System (ROS) is what controls the protocols by which the different components of the robot will be communicating together. ROS Communication Protocols: ROS was built to be light-weight and suitable to run on robots with very limited memory resources and processing power and thus in communication it uses XMLRPC (or TCPROS) which uses XML to package data, and it doesnÕt include periodic connectivity validation in order to maximize speed, in other words, ROS checks the connection once when it is established and it never checks it again afterwards, which is a major vulnerability that can be exploited. ROSMaster: Another significant vulnerability in how ROS works is the rosmaster. The rosmaster is a node that manages all the connections between nodes. It manages topics, services and actions, it manages the publishers and subscribers of topics, the servicesÕ servers and clients and whenever a new node is run, it directly connects to rosmaster and then the rosmaster provides it with the URI addresses of the topics and services servers and clients it needs to interact with."
1,2022,"This makes the rosmaster the most important piece of the puzzle, and gaining control over the rosmaster is gaining control over the entire system."
1,2022,"ROS Authentication: ROS is very susceptible to attacks that include fake nodes trying to fool other nodes or the rosmaster into believing that they are safe nodes. This is due to the fact that there is no proper method of node authentication, ROS doesnÕt require a password or an  access token for nodes to connect to the rosmaster, or for nodes to validate the rosmasterÕs identity. It only requires the rosmaster IP address as an environmental variable so the node can connect to it. By changing the IP address of a computer to the rosmasterÕs IP and disconnecting the rosmaster from the network and running a new rosmaster on the computer, the nodes can connect to the attackerÕs rosmaster and full control is gained over the robot."
1,2022,"ROS Topics Vulnerabilities: ROS Topics are communication rooms through which nodes called publishers can publish data and nodes called listeners can listen to this data. This can be  exploited as by registering a node on the rosmaster and listening to the messages sent on the topics can expose a lot of data. Also topics can be exploited to control the robot as ROS topics can have multiple publishers, which can allow us to override the commands of the remote PC."
1,2022,"So, first, I want to talk about what this competition was all about."
1,2022,It's about like hacking.
1,2022,The competition is divided into two parts.
1,2022,"So first of all, you have the network hacking part."
1,2022,"And then you have to hack into ROS itself, which is if somebody doesn't know, it's the robot operating system. So what is ROS all about? So the problem with robotics that ROS is trying to solve is that it's hard to reuse stuff that you wrote, for example, when it comes to apps and when it comes to Android and phones and things like that, we find that you have Android, you have other apps that provided a well-known base so that developers can develop their own apps. So what ROS is essentially trying to do is that create a system so that people can develop their own nodes and people can use other people's nodes and exactly like you're downloading your apps and using them. So first of all, ROS is kind of new and it's built in order to be able to run on very systems with limited memory and processing power."
1,2022,So it's very lightweight and given that it has a lot of vulnerabilities that you can really exploit in order to get access to the system.
1,2022,So I'm going to go through some of them.
1,2022,"So first of all, I'm going to talk about the ROS communication protocols. So what happens in ROS is that you have a ROS master node."
1,2022,So this node essentially controls everything.
1,2022,So this ROS master node is the first node.
1,2022,"And whenever a node wants to connect to other nodes, and by the way, nodes here are just like units."
1,2022,"For example, the motor controller can be a node, navigation can be a node."
1,2022,"So whenever it want to connect to the system, what it does is that it has that QR address of the ROS master. Just request the ROS master to connect and then the ROS master sees whatever, which topics you want to listen to and it's going to connect it to the correct notes."
1,2022,"So this step is a problem because everything is kind of centralized into the ROS Master. If you got access to the ROS master, you got access to the entire world."
1,2022,So that's point number one. Point number two is the communication process.
1,2022,"So what's happening is that the communication protocol used in ROS is that whenever a node wants to connect, it uses  XML-RPC or sometimes TCPROS."
1,2022,But XML-RPC is the one I want to talk about because the connection is not checked regularly. What happens is that the nodes ask connection and then XML messages are communicated.
1,2022,But then ROS doesn't periodically check the connection.
1,2022,So this is a vulnerability because you can kind of separate into the connection without constantly checking who is connecting to me.
1,2022,That's a very important point.
1,2022,"Point number three is the ROS authentication. So ROS authentication is vulnerable because if a node wants to connect to a ROS Master, if it only has the IP address of the ROS Master and the ROS Master has its IP address, they can connect. There is no password or like access token that the node has to have in order to successfully connect to the ROS master and topics."
1,2022,"So a very big, very big vulnerability in ROS is that topics can have multiple publishers."
1,2022,"So for example, if you have a node that controls the movement of the robot."
1,2022,"For example, you're the ROS Master and you have the intended publisher publishing into this topic. But then as a hacker, if you gain control, if you were able to gain access by creating a node and then convincing the ROS Master that you are actually a valid node and connecting to it, what's going to happen is that you can actually also publish into this topic."
1,2022,Publish into this topic.
1,2022,"And now since topics allow multiple publishers, you also have control over the navigation of the robot."
1,2022,So that's one other very big one of it.
1,2022,"Now I want to talk about the other aspect of the competition, which was around the network hacking. Okay, so about the network hacking, our attacks were mainly divided into three parts, which are the pre-connection attacks and then getting access, and then the post-connection attacks. Pre-connection attacks are other attacks that we could do without actually connecting to the network. And these attacks were the packet sniffing attacks, which are simple attacks that allow us to sniff data among network. And here we use two types of sniffing data. One of them is like generally sniffing data over all the networks in our range. And the second one is specific sniffing data, which you specify a specific network and see like who are the clients connected to this network."
1,2022,"And one other attack, which is also from the pre-connection attack, is the deauthentication attack, which allowed us to disconnect the robot from the network and disable its functionality."
1,2022,And all of these attacks can be used using tools like airgeddon and airodump.
1,2022,"And for the second part of our test were the getting access attacks. And here we used two types of attacks, which were checking the WPS vulnerability. The theory behind the WPS vulnerability is like if you want to proof for the password, sometimes the password will be too long or it's not able to brute force it. So the WPS, it has like a pin number that you can, it will make effect like you push the button WPS so you can actually connect to. But when we tried the WPS, it was disabled in the network. So we looked into the brute force because it is WPA encryption."
1,2022,And here we captured the handshake using also tools like airodump and airgeddon.
1,2022,And then we tried a couple of brute forcing word list but none of them worked. So we asked for the word list provided by the competition.
1,2022,"Then after we cracked the password, our post-connection attacks were mainly using the SSH. So we tried to SSH on the robot terminal."
1,2022,And here we did some good move.
