"Topic","Topic Information","Representative Document 1","Representative Document 2","Representative Document 3"
0,"robot (0.04), robots (0.03), data (0.03), construction (0.03), access (0.02), computer (0.02), sensors (0.01), sensor (0.01), control (0.01), external (0.01)","Physical Tampering. Physical tampering with sensors or components of the robotic system. might include tampering with LiDAR sensors or disrupting the connection between sensors and the Robot Computer. Exploiting physical access vulnerabilities could lead to compromised sensors, causing the robot to make decisions based on faulty or manipulated data. Physically tamper connections, splice into the sensor wires, or compromise the sensor firmware to manipulate the data before it reaches the robot computer.","Q1) Unauthorized access: If I can gain access to the robot's control system, they could potentially take control of the robot and use it for malicious purposes. This could be done by exploiting vulnerabilities in the robot's software or by physically accessing the robot's hardware. Malware: If I install malware on the robot's control system, I could use it to take control of the robot or steal sensitive data. This could be done by exploiting vulnerabilities in the robot's software or by tricking someone into installing the malware. Physical damage: If someone damages the robot's hardware, it could prevent the robot from functioning properly or cause it to malfunction.","Compromising the operation of the robotic system could involve sending malicious commands to the robot computer, causing it to perform unauthorized actions. This might be achieved by exploiting vulnerabilities in the Robot Operating System (ROS) or weaknesses in the communication between the robot computer and the actuators and sensors. Another approach could be to disrupt the robot's navigation system. By introducing false sensor data or interfering with its sensors, an attacker could cause the robot to make incorrect decisions, potentially leading to collisions or mission failure."
1,"wifi (0.05), password (0.04), network (0.03), attacks (0.03), access (0.02), attack (0.02), use (0.02), using (0.02), handshake (0.02), vulnerabilities (0.02)","In order to do these attacks, a  wireless adapter that supports monitor mode and packet injection will be used  along with some of kali linux tools like Airodump-NG and Airgeddon. Pre-connection attacks: Packet sniffing using Airodump-NG: Airodump is a packet sniffer program that is part  of aircrack-ng suit. It is basically a program designed to sniff the data and capture all the packets that are in our wifi card range. It can be  also used to just scan all wifi networks around us and gather info about them such as the MAC address, the channel, type of encryption, and the clients connected to this network.","Now I want to talk about the other aspect of the competition, which was around the network hacking. Okay, so about the network hacking, our attacks were mainly divided into three parts, which are the pre-connection attacks and then getting access, and then the post-connection attacks. Pre-connection attacks are other attacks that we could do without actually connecting to the network. And these attacks were the packet sniffing attacks, which are simple attacks that allow us to sniff data among network. And here we use two types of sniffing data. One of them is like generally sniffing data over all the networks in our range. And the second one is specific sniffing data, which you specify a specific network and see like who are the clients connected to this network.","The used attacks are mainly divided into three parts:  Pre-Connection Attacks, Gaining Access, and Post-Connection Attacks. Pre-Connection attacks are all the attacks that are used before hacking the Wi-Fi without connecting to the network like packets sniffing & deauthentication  attack, while the Gaining Access are the attacks that will be  used to hack into the Wi-Fi and actually connect to the network, and the Post-connection attacks involve all the attacks that can be done once we are connected to the network like ssh connection, and Man in The Middle attack."
2,"ros (0.10), master (0.04), nodes (0.04), node (0.03), network (0.03), ros network (0.03), ros master (0.03), authentication (0.02), services (0.02), communication (0.02)","Point number three is the ROS authentication. So ROS authentication is vulnerable because if a node wants to connect to a ROS Master, if it only has the IP address of the ROS Master and the ROS Master has its IP address, they can connect. There is no password or like access token that the node has to have in order to successfully connect to the ROS master and topics.","ROS consist of three levels namely ROS graph, file system, and a community. At the communication level, ROS is composed of a ROS master, ROS nodes, messages, the topics transferred between them. The ROS mater manages communication between the ROS nodes. When a subscriber node wishes to subscribe to a topic it sends a request to the ROS master which then returns an address of the node that published the topic.","To efficiently compromise data, we focus on understanding the ROS Network and its components first. What is ROS1 ? In a simple term, ROS (Robot Operating System) is like a toolbox for building and controlling robots acting as the software ""brain"" facilitating robot tasks like movement, sensing, and decision-making. ROS Network Components * ROS Master: Central to ROS, it manages node naming and registration, facilitates node communication, and offers parameter storage and lookup services.  ROS Nodes: These software processes perform specific tasks, communicating via topics, services, and the ROS Master.  ROS Topics: Channels for message exchange between nodes, enabling data publication and subscription.  ROS Services: Callable functions provided by nodes for specific actions.  ROS Parameter Server: A repository for configuration parameters, allowing dynamic reconfiguration.  ROS Packages: Collections of nodes, libraries, configurations, and dependencies.  ROS Messages: Data structures for inter-node information exchange."
3,"competition (0.06), did (0.06), okay (0.05), complexity (0.04), time (0.04), going (0.04), team (0.03), good (0.03), stage (0.03), low (0.03)","Okay, we did actually rockyou and my team did divide it on 15 parts.","Low Complexity:  Our opted simple, straightforward attacks with minimal complexity.","Low Complexity:  Our opted simple, straightforward attacks with minimal complexity."
4,"data (0.15), confidentiality (0.04), integrity confidentiality (0.04), compromising data (0.04), attacks (0.04), integrity (0.03), compromising (0.03), data rest (0.03), rest (0.03), compromise (0.03)","When considering data compromise in a system, two key components are at risk:  Data at Rest: Attackers can compromise data at rest by gaining unauthorized access to computers or sensors storing data.","In more detail, the data that we are concerned about can be divided into three categories: i) data-in-transit, ii) data-at-rest, and iii) data-in-use. The security risks and the impacts of attacks targeting each data subcategory as well as the methodologies that need to be applied to ensure that the data have not been altered are different. Attackers could compromise data during their collection stage, i.e., data-in-use.","This includes various attack vectors such as brute force attacks, dictionary attacks, and man-in-the-middle attacks aimed at guessing router usernames and passwords, thereby violating the confidentiality aspect of the CIA triad. Furthermore, attacks like DNS spoofing and rogue access points can compromise data integrity by altering or corrupting transmitted data, potentially leading to data manipulation or unauthorized modifications."
5,"turtlebot (0.09), burger (0.08), turtlebot3 (0.08), limited (0.06), turtlebot3 burger (0.06), battery (0.04), turtlebots (0.04), path (0.03), power (0.03), battery life (0.03)","Improved battery life: To address the limited battery life of the TurtleBot3 Burger, an external battery pack can be added to extend the robot's operating time. Additionally, optimizing the robot's power consumption can help reduce the frequency of battery replacements.","Advanced processing power: To address the limited processing power of the TurtleBot3 Burger, upgrading the single-board computer (SBC) to a more powerful model can improve the robot's ability to perform complex tasks and run advanced algorithms.","Limited payload capacity: The TurtleBot3 Burger has a limited payload capacity of only 1.2 kg, which may restrict its ability to carry heavy equipment or materials. Limited battery life: The TurtleBot3 Burger has a limited battery life of only 60 minutes, which may require frequent recharging or replacement of batteries during long construction tasks. Limited processing power: The TurtleBot3 Burger has limited processing power due to its small size and low cost, which may affect its ability to perform complex tasks or run advanced algorithms. Limited sensing capabilities: The TurtleBot3 Burger is equipped with a 360-degree laser distance sensor (LDS-01), which may have limitations in certain environments or situations."
6,"firmware (0.15), updates (0.13), update (0.13), software (0.09), firmware update (0.07), firmware updates (0.06), regularly (0.05), security (0.05), patch (0.05), patches (0.05)","Regular software updates update both software and firmware to fix known vulnerabilities. Implement a robust update mechanism and apply security patches regularly.","Insufficient security measures during updates is a vulnerability when outdated Wi-Fi security protocols are in use, especially on the Raspberry Pi. Once control of the Wi-Fi network is established, manipulating the update traffic between the Raspberry Pi and the update server is possible. This manipulation mirrors the firmware update process, where weaknesses in Wi-Fi security provide an opportunity to intercept and modify firmware update packets between the Raspberry Pi and the update server. Man-in-the-Middle (MitM) attacks can be used over Wi-Fi to allow the manipulation of firmware updates in transit, potentially jeopardizing the integrity of the Raspberry Pi's firmware and posing a significant threat to the overall system.","Firmware Update Mechanism:  Safe Updates: Strengthen the firmware update process by enforcing robust encryption. Firmware updates often include patches and fixes for known security vulnerabilities. The Raspberry Pi Foundation regularly releases firmware updates through official channels. To update the firmware, we should use the `rpi-update` tool, which fetches the latest firmware from the official repository."
7,"intrusion (0.16), detection (0.13), intrusion detection (0.13), suspicious (0.10), monitor (0.08), systems (0.07), prevention (0.07), network (0.07), ids (0.07), traffic (0.06)"," Intrusion detection and prevention systems to detect and respond to suspicious activities.","In case, the user is highly suspecting a hacking attack, they can Deploy Intrusion Detection and Prevention Systems (IDPS) to monitor network traffic for suspicious activities and automatically block or alert on potential threats, ensuring that even when the user is not active there is a level of security active at all time.","Firewall Protection:  Intrusion Detection and Prevention: Implement an Intrusion Detection System (IDS) and Intrusion Prevention System (IPS) on your network. These systems can monitor network traffic for suspicious activities and take automated actions to block or mitigate potential threats. Application Layer Firewall: Deploy an application-layer firewall that inspects network traffic at the application level."
8,"construction (0.08), motivation (0.07), financial (0.06), delays (0.05), project (0.05), industrial (0.04), financial losses (0.04), losses (0.04), illegal (0.04), wanting (0.04)","This can especially give me motivation if I am  an existing employee wanting to find illegal ways of earning money.","This can especially give me motivation if I am an existing employee wanting to find illegal ways of earning money.","The consequences of such a compromise could be profound: construction project delays, potential safety hazards to human workers, substantial financial losses for construction companies due to downtime and rework, and significant damage to a company's reputation. Such actions not only jeopardize business continuity but also pose risks to the safety and well-being of individuals working in this dynamic and safety-sensitive setting."
9,"authentication (0.10), access (0.08), access control (0.06), control (0.05), strong (0.05), multifactor (0.04), multifactor authentication (0.04), mfa (0.04), security (0.04), zones (0.04)","Authentication and Authorization: We could implement strong user authentication and role-based access control. We will need to create specific permissions based on their roles which will help limit the access to sensitive components and functions.","Multiple Factor Authentication (MFA): Mitigation: Implement MFA+ requiring three or more authentication methods, such as something you know (username and password), something you have (physical item), and something you are (biometric data). Reason: Enhances access security by making it challenging for attackers to compromise multiple authentication factors.","These measures encompass implementing robust authentication and access control mechanisms to restrict unauthorized access, securing communication channels through encryption - as pointed out in the paper cited above - to protect the integrity of data exchanged between nodes and topics, conducting regular security audits and testing, including code reviews, to identify potential vulnerabilities, enforcing strict input validation to prevent common security issues, and implementing rate limiting to prevent malicious activities and safeguard system resources."
